Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-01-01,0.0,0.0,0.0,0.16937246175798515,0.0,0.9144968278858769,2021-01-01
2021-01-02,0.002072664923761236,0.004699078257726419,0.0048933557687935725,0.15665006934951153,0.002072664923761347,0.9355261031291855,2021-01-02
2021-01-03,0.005607442313121602,0.009398156515452727,0.010575742416662925,0.14682139756727902,0.005607442313121713,0.9441551521659823,2021-01-03
2021-01-04,0.00933273043190852,0.012289896981745874,0.016133066533266627,0.13846952113912808,0.00933273043190852,0.9364967444468046,2021-01-04
2021-01-05,0.01271142674173864,0.016085306343755712,0.02088771658556554,0.13208337906742368,0.01271142674173864,0.9390553390757264,2021-01-05
2021-01-06,0.016276043161009057,0.018796313030905454,0.02476920278320982,0.13039703842661426,0.016276043161009057,0.9313783330698806,2021-01-06
2021-01-07,0.019064844802614833,0.02114585215976872,0.02844376733821463,0.12626600277398048,0.01906484480261461,0.9272486619523921,2021-01-07
2021-01-08,0.02157132331507028,0.024941261521778446,0.03083132475328576,0.12647554806070826,0.0215713233150705,0.936937482314768,2021-01-08
2021-01-09,0.023398390069570785,0.02855593710464488,0.034446768838965025,0.11835317361325921,0.023398390069570896,0.950674318112724,2021-01-09
2021-01-10,0.026267527560934756,0.03126694379179473,0.038544272136068036,0.11269545087160861,0.026267527560934756,0.9487083127499876,2021-01-10
2021-01-11,0.02962097546084086,0.03470088559551787,0.04228477875301295,0.11066984643323986,0.02962097546084086,0.9485138708336365,2021-01-11
2021-01-12,0.03232026001271604,0.04066510030724746,0.04609122743189775,0.10537134418312262,0.03232026001271604,0.9733904807496403,2021-01-12
2021-01-13,0.03489559782496421,0.04337610699439731,0.049336031652189805,0.10217827314727042,0.03489559782496421,0.9737287984885254,2021-01-13
2021-01-14,0.037363056067537204,0.04626784746069046,0.052226113056528245,0.10006286358601833,0.037363056067537204,0.9763364693623631,2021-01-14
2021-01-15,0.0392176665419548,0.04879812036869691,0.05427941243348955,0.09897522376443117,0.0392176665419548,0.9810484778093631,2021-01-15
2021-01-16,0.040838155397077136,0.05168986083499005,0.05778116330892724,0.09049362882544877,0.040838155397077136,0.9904086743217855,2021-01-16
2021-01-17,0.043034767060465384,0.05313573106813663,0.061471644913365764,0.08376822295618508,0.043034767060465384,0.9839652693515895,2021-01-17
2021-01-18,0.04539893635334924,0.0545816013012832,0.06481877302287509,0.07927796681201792,0.04539893635334935,0.9762269021083361,2021-01-18
2021-01-19,0.0474256950772487,0.05765407554671975,0.06835008413297561,0.07242284243192272,0.04742569507724881,0.9836724194952318,2021-01-19
2021-01-20,0.049670508250491796,0.06072654979215619,0.07111282914184369,0.06988834229721504,0.049670508250491796,0.9893465332080904,2021-01-20
2021-01-21,0.05145166880513041,0.06271462136273276,0.07359588885351775,0.06662542283245357,0.051451668805130635,0.9903976496837474,2021-01-21
2021-01-22,0.05312724510008693,0.06434122537502263,0.07540588476056209,0.06587704680842571,0.05312724510008715,0.9895303516867164,2021-01-22
2021-01-23,0.05452279357588641,0.06614856316645579,0.07824821501659929,0.05937116457287686,0.0545227935758863,0.9922439547780835,2021-01-23
2021-01-24,0.05666661310943344,0.06741369962045907,0.08157033061985541,0.0540427272817985,0.05666661310943366,0.9849624962883228,2021-01-24
2021-01-25,0.058606150053595485,0.07012470630760892,0.08424439492473512,0.050590219224283306,0.058606150053595485,0.9902273520527256,2021-01-25
2021-01-26,0.06077062737708039,0.07175131031989879,0.086795670562554,0.04871428999072014,0.0607706273770805,0.9855494093637365,2021-01-26
2021-01-27,0.06276754707106968,0.07428158322790535,0.08924007458274597,0.04652903200055879,0.0627675470710698,0.9889807236759127,2021-01-27
2021-01-28,0.06519598504376012,0.07554671968190863,0.09107735686024832,0.04895377031840906,0.06519598504376012,0.9795819932502257,2021-01-28
2021-01-29,0.06717913287779076,0.07771552503162849,0.09268270498885811,0.05041060897851661,0.06717913287779076,0.9804201510872561,2021-01-29
2021-01-30,0.06865042658336218,0.0818724019519248,0.09485879303288014,0.0470279493499107,0.06865042658336229,1.0,2021-01-30
2021-01-31,0.07136118768520283,0.08404120730164466,0.09720087316385473,0.048414939581109,0.07136118768520294,0.995165134917932,2021-01-31
2021-02-01,0.07413162684686381,0.08584854509307793,0.09920869525671927,0.051548140535038964,0.07413162684686392,0.9872366178413765,2021-02-01
2021-02-02,0.07672991775904292,0.0872944153262245,0.10143253444904277,0.05300497919514653,0.07672991775904281,0.9780191569748915,2021-02-02
2021-02-03,0.07966791455019961,0.08910175311765767,0.10319705307199056,0.05793428260674337,0.07966791455019961,0.9689372427282237,2021-02-03
2021-02-04,0.08263804568125943,0.09090909090909094,0.10485697394151627,0.06346228683756248,0.08263804568125954,0.9596828189162707,2021-02-04
2021-02-05,0.08544291449281682,0.09235496114223751,0.10623948337805267,0.06950916511170759,0.08544291449281671,0.9491103808205654,2021-02-05
2021-02-06,0.08742835763684065,0.09362009759624079,0.1083632725453636,0.0687508107406927,0.08742835763684076,0.943427810943307,2021-02-06
2021-02-07,0.09040996531786605,0.09542743538767395,0.11028468779844469,0.07318119680293762,0.09040996531786616,0.9342798544417281,2021-02-07
2021-02-08,0.09427756265622456,0.09651183806253394,0.11242894174359908,0.08052526018539768,0.09427756265622445,0.9134527401364014,2021-02-08
2021-02-09,0.0976815073759787,0.0983191758539671,0.1144072036018009,0.08654220341858167,0.09768150737597858,0.9014042384967773,2021-02-09
