Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-01-01,295765,3851,271834.0,20080.0,2898.764497987874,1.302047233445472
2021-01-02,296668,3877,273986.0,18805.0,2907.614714685871,1.3068480591098468
2021-01-03,298208,3903,276485.0,17820.0,2922.7081075041606,1.3088180062238437
2021-01-04,299831,3919,278929.0,16983.0,2938.614975389929,1.307069649235736
2021-01-05,301303,3940,281020.0,16343.0,2953.0419067071507,1.3076537571813092
2021-01-06,302856,3955,282727.0,16174.0,2968.262711282997,1.305901154343979
2021-01-07,304071,3968,284343.0,15760.0,2980.170810162361,1.304958381430653
2021-01-08,305163,3989,285393.0,15781.0,2990.873397797149,1.3071702663822284
2021-01-09,305959,4009,286983.0,14967.0,2998.6749177214074,1.310306282867966
2021-01-10,307209,4024,288785.0,14400.0,3010.926048255733,1.3098574586031009
2021-01-11,308670,4043,290430.0,14197.0,3025.245169624253,1.3098130689733372
2021-01-12,309846,4076,292104.0,13666.0,3036.7710332309466,1.315492212260284
2021-01-13,310968,4091,293531.0,13346.0,3047.767647998557,1.3155694476602091
2021-01-14,312043,4107,294802.0,13134.0,3058.303620258077,1.3161647593440648
2021-01-15,312851,4121,295705.0,13025.0,3066.222751035465,1.3172404754979208
2021-01-16,313557,4137,297245.0,12175.0,3073.1421895612525,1.319377338091639
2021-01-17,314514,4145,298868.0,11501.0,3082.5216550983323,1.3179063571096994
2021-01-18,315544,4153,300340.0,11051.0,3092.616586658617,1.316139745962528
2021-01-19,316427,4170,301893.0,10364.0,3101.270785268065,1.317839501686013
2021-01-20,317405,4187,303108.0,10110.0,3110.8560697981206,1.3191348592492242
2021-01-21,318181,4198,304200.0,9783.0,3118.4615716338308,1.3193748212495404
2021-01-22,318911,4207,304996.0,9708.0,3125.616231865877,1.319176823627909
2021-01-23,319519,4217,306246.0,9056.0,3131.575181757772,1.319796318841759
2021-01-24,320453,4224,307707.0,8522.0,3140.729226493021,1.3181340165328457
2021-01-25,321298,4239,308883.0,8176.0,3149.010990734225,1.3193359435788583
2021-01-26,322241,4248,310005.0,7988.0,3158.25324360932,1.3182680043818136
2021-01-27,323111,4262,311080.0,7769.0,3166.780030461211,1.3190513476792805
2021-01-28,324169,4269,311888.0,8012.0,3177.149387345464,1.3169056880824508
2021-01-29,325033,4281,312594.0,8158.0,3185.6173687707897,1.3170970332243188
2021-01-30,325674,4304,313551.0,7819.0,3191.8997485087925,1.3215669657387448
2021-01-31,326855,4316,314581.0,7958.0,3203.4746166376235,1.320463202337428
2021-02-01,328062,4326,315464.0,8272.0,3215.3043082815684,1.3186531814108309
2021-02-02,329194,4334,316442.0,8418.0,3226.398932093453,1.3165489042935168
2021-02-03,330474,4344,317218.0,8912.0,3238.944089760603,1.3144755714519143
2021-02-04,331768,4354,317948.0,9466.0,3251.626460089737,1.312362855971643
2021-02-05,332990,4362,318556.0,10072.0,3263.603165300093,1.3099492477251569
2021-02-06,333855,4369,319490.0,9996.0,3272.0809476298477,1.308651959683096
2021-02-07,335154,4379,320335.0,10440.0,3284.812322481119,1.3065635498904982
2021-02-08,336839,4385,321278.0,11176.0,3301.326846441389,1.3018088760505762
2021-02-09,338322,4395,322148.0,11779.0,3315.861587707313,1.299058293578307
2021-02-10,340177,4411,323206.0,12560.0,3334.042265420253,1.296677905913686
2021-02-11,341984,4421,324070.0,13493.0,3351.7524997206738,1.2927505380368671
2021-02-12,343563,4433,324711.0,14419.0,3367.2281278116343,1.2903019242467904
2021-02-13,344803,4444,325892.0,14467.0,3379.381249301686,1.2888518951401235
2021-02-14,347250,4455,327099.0,15696.0,3403.3640624356817,1.2829373650107991
2021-02-15,349562,4473,328231.0,16858.0,3426.0237534719704,1.2796013296639794
