Day,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
2021-01-02,0.0,0.0,0.0,0.0009657947686116941,1.0
2021-01-03,0.0017839497576084273,0.0,0.0020018950323081874,0.0,0.9824220592283162
2021-01-04,0.004250973214226628,0.0012360939431397266,0.0037116986186211953,0.010543259557344087,0.9687261619759173
2021-01-05,0.006320089661712824,0.0012360939431397266,0.005656600198052253,0.013682092555331982,0.9484942755623855
2021-01-06,0.00904575267426666,0.0012360939431397266,0.007302286149878601,0.02816901408450706,0.9219690622429759
2021-01-07,0.012626915756454471,0.0012360939431397266,0.008898102830437349,0.05360160965794769,0.8873350688356059
2021-01-08,0.015909648581793112,0.003708281829418958,0.010636403143188922,0.07364185110663984,0.8765804191282722
2021-01-09,0.018741420130115705,0.006180469715698411,0.012381827637550247,0.08812877263581492,0.8702053341813301
2021-01-10,0.021486978493126196,0.007416563658838138,0.01436947430663893,0.09891348088531188,0.854354279757958
2021-01-11,0.024981928390001906,0.009888751545117369,0.01697692477576629,0.11171026156941649,0.841786362268433
2021-01-12,0.02825802943185507,0.011124845488257096,0.018416009460913152,0.13513078470824952,0.8211034263901364
2021-01-13,0.0318325607305574,0.011124845488257096,0.020083067957568312,0.15967806841046278,0.7875246325440575
2021-01-14,0.03554635948245566,0.011124845488257096,0.021878361723197015,0.18446680080482897,0.7528826669961219
2021-01-15,0.039061204729788024,0.012360939431396822,0.023787642394579978,0.20547283702213281,0.7304826628856702
2021-01-16,0.04194603054599488,0.012360939431396822,0.026273981776343547,0.2123943661971831,0.7038959036787471
2021-01-17,0.04445284470352617,0.012360939431396822,0.029579602043215303,0.20547283702213281,0.6809119727097599
2021-01-18,0.04754988759126988,0.013597033374536327,0.03210156233302697,0.2144869215291751,0.6627444056269205
2021-01-19,0.05138305844590785,0.01606922126081578,0.035236202241267556,0.22543259557344064,0.6480599205188398
2021-01-20,0.0543143067465135,0.017305315203955507,0.038684306140332136,0.2219718309859155,0.631602180784677
2021-01-21,0.058094423333266976,0.017305315203955507,0.04157672387384492,0.2351710261569417,0.5976477246954364
2021-01-22,0.061629163931056,0.018541409147095234,0.04500345522808069,0.23927565392354128,0.5760586108309003
2021-01-23,0.0651705363123305,0.018541409147095234,0.04813097095471153,0.24692152917505034,0.5446439301283963
2021-01-24,0.0677171411707751,0.018541409147095234,0.051742931030797745,0.2370221327967807,0.5221821773156474
2021-01-25,0.0709799786456573,0.021013597033374465,0.05539763619654203,0.2351710261569417,0.5132713780516394
2021-01-26,0.07432902930585139,0.024721878862793645,0.059223321720917266,0.232354124748491,0.5134876563965012
2021-01-27,0.07817546372746031,0.024721878862793645,0.06232946490271929,0.24394366197183098,0.480000520174114
2021-01-28,0.0820749524169535,0.02595797280593315,0.06694593458576437,0.23903420523138835,0.45604944858389196
2021-01-29,0.08643866595043415,0.02595797280593315,0.07062201229633747,0.2504627766599598,0.41857761732507726
2021-01-30,0.08984740266199798,0.027194066749072876,0.07419122728276584,0.2514285714285715,0.3992006083503412
2021-01-31,0.0940585851753113,0.027194066749072876,0.07794567099104488,0.2601207243460765,0.3635084519832841
2021-02-01,0.09794481029783353,0.027194066749072876,0.08182834996829746,0.26342052313883296,0.33081299543742837
2021-02-02,0.1033231867046005,0.028430160692212603,0.0854616825892125,0.28756539235412476,0.29551093801391914
2021-02-03,0.1083368150196633,0.02966625463535233,0.08942985174578078,0.3035010060362174,0.26355693975821026
2021-02-04,0.11390751314751091,0.030902348578491834,0.09338377253912955,0.3263581488933602,0.22733628284949248
2021-02-05,0.12014138962391163,0.03337453646477129,0.0966323993531244,0.3651509054325956,0.19553251901821866
2021-02-06,0.12575187845267233,0.03337453646477129,0.10047233324071891,0.3898591549295775,0.15033027251822695
2021-02-07,0.1321316541657549,0.03584672435105074,0.1036425940570076,0.431307847082495,0.11812304621861713
2021-02-08,0.1387369105173455,0.0395550061804697,0.1077888677538168,0.4643863179074447,0.09377256582835969
2021-02-09,0.1453819575698494,0.046971569839307836,0.11199925908511266,0.4969818913480886,0.09704291209861537
2021-02-10,0.15192752787007024,0.05315203955500625,0.11593893151524215,0.5315090543259557,0.09188589032040184
2021-02-11,0.15887763696290857,0.05933250927070444,0.12043429011092344,0.5646680080482898,0.08365869715522933
2021-02-12,0.16564868790163745,0.0679851668726823,0.1250080147043109,0.5946076458752516,0.09501848156990889
2021-02-13,0.17129233564782576,0.07540173053152044,0.1301160529184211,0.6049094567404427,0.10587857721288962
2021-02-14,0.17658449886928107,0.08158220024721885,0.13556605184979387,0.6071629778672032,0.11034781285049355
2021-02-15,0.18204245667787444,0.08899876390605677,0.141065920052434,0.610784708249497,0.12244779016214657
2021-02-16,0.18843549595792797,0.09517923362175518,0.14683650715624053,0.6227766599597586,0.11846405873214039
2021-02-17,0.19518001976271493,0.10135970333745359,0.1526712118945337,0.6383098591549297,0.11187909845299515
2021-02-18,0.2016725357950515,0.11124845488257096,0.15969565496163618,0.637102615694165,0.13360924925120443
2021-02-19,0.20814515647693144,0.11990111248454882,0.16624990204250278,0.641046277665996,0.14651595198488998
2021-02-20,0.21386175384146067,0.12608158220024723,0.17290388766590437,0.6348490945674046,0.14751664243031826
2021-02-21,0.21895496355834987,0.13226205191594564,0.179792971282424,0.618430583501006,0.1531229953388209
2021-02-22,0.22491693691184378,0.13844252163164406,0.18659656471962793,0.6135211267605634,0.1522752320497922
2021-02-23,0.23164819714965956,0.14833127317676142,0.19305107325795956,0.6216498993963784,0.17151471031007937
